ID,Domain,User Input,Bot Response,Context ID,Context,Intent
1420,Finance,How do I get a bank statement?,You can download it from your online banking portal.,1419,Can I invest in stocks through your bank?,get_bank_statement
809,E-commerce,I forgot my account password.,Click on 'Forgot Password' to reset it.,808,What payment methods do you accept?,reset_password
1494,E-commerce,What is the refund policy?,You can get a full refund within 30 days of purchase.,1493,Can I cancel my order?,ask_refund_policy
1340,E-commerce,Can I get a gift receipt?,"Yes, we offer gift receipts during checkout.",1339,I forgot my account password.,request_gift_receipt
2219,Finance,Can I invest in stocks through your bank?,"Yes, we offer stock investment services.",2218,What documents are needed for a home loan?,stock_investment
244,E-commerce,What is the refund policy?,You can get a full refund within 30 days of purchase.,243,Can I cancel my order?,ask_refund_policy
2509,E-commerce,I forgot my account password.,Click on 'Forgot Password' to reset it.,2508,What payment methods do you accept?,reset_password
2293,E-commerce,Can I cancel my order?,"If it hasn’t shipped yet, yes you can cancel it.",2292,Where is my package?,cancel_order
1453,E-commerce,Can I cancel my order?,"If it hasn’t shipped yet, yes you can cancel it.",1452,Where is my package?,cancel_order
763,Finance,What is the current interest rate?,The current interest rate is 3.5% per annum.,762,How do I open a savings account?,ask_interest_rate
1425,Finance,Is there a fee for early loan repayment?,"Yes, there may be a small prepayment penalty.",1424,Can I apply for a personal loan?,loan_prepayment_fee
1174,Finance,Can I apply for a personal loan?,"Yes, you can apply for a personal loan through our website.",1173,What is the current interest rate?,apply_loan
1987,E-commerce,How do I change my delivery address?,You can change it from your account settings.,1986,The product I received is damaged.,update_address
587,Finance,How can I improve my credit score?,You can improve your credit score by paying bills on time.,586,What is a credit score?,ask_credit_score
1752,E-commerce,Where is my package?,Let me check the tracking information for you.,1751,I want to return my order.,track_order
2888,Finance,What documents are needed for a home loan?,"You will need ID, income proof, and address verification.",2887,How can I improve my credit score?,home_loan_documents
1437,Finance,How can I improve my credit score?,You can improve your credit score by paying bills on time.,1436,What is a credit score?,ask_credit_score
1936,Finance,What is a credit score?,A credit score is a number that represents your creditworthiness.,1935,Is there a fee for early loan repayment?,ask_credit_score
556,Finance,What is a credit score?,A credit score is a number that represents your creditworthiness.,555,Is there a fee for early loan repayment?,ask_credit_score
1226,E-commerce,The product I received is damaged.,We're sorry to hear that. We'll send a replacement.,1225,Do you offer international shipping?,report_damaged_item
2716,Finance,What is a credit score?,A credit score is a number that represents your creditworthiness.,2715,Is there a fee for early loan repayment?,ask_credit_score
626,E-commerce,The product I received is damaged.,We're sorry to hear that. We'll send a replacement.,625,Do you offer international shipping?,report_damaged_item
2006,Finance,What is a credit score?,A credit score is a number that represents your creditworthiness.,2005,Is there a fee for early loan repayment?,ask_credit_score
2869,E-commerce,I forgot my account password.,Click on 'Forgot Password' to reset it.,2868,What payment methods do you accept?,reset_password
1520,E-commerce,Can I get a gift receipt?,"Yes, we offer gift receipts during checkout.",1519,I forgot my account password.,request_gift_receipt
1985,Finance,Is there a fee for early loan repayment?,"Yes, there may be a small prepayment penalty.",1984,Can I apply for a personal loan?,loan_prepayment_fee
630,E-commerce,Can I get a gift receipt?,"Yes, we offer gift receipts during checkout.",629,I forgot my account password.,request_gift_receipt
2283,E-commerce,Can I cancel my order?,"If it hasn’t shipped yet, yes you can cancel it.",2282,Where is my package?,cancel_order
2325,Finance,Is there a fee for early loan repayment?,"Yes, there may be a small prepayment penalty.",2324,Can I apply for a personal loan?,loan_prepayment_fee
2989,E-commerce,I forgot my account password.,Click on 'Forgot Password' to reset it.,2988,What payment methods do you accept?,reset_password
38,Finance,What documents are needed for a home loan?,"You will need ID, income proof, and address verification.",37,How can I improve my credit score?,home_loan_documents
1199,Finance,Can I invest in stocks through your bank?,"Yes, we offer stock investment services.",1198,What documents are needed for a home loan?,stock_investment
305,E-commerce,Do you offer international shipping?,"Yes, we ship to over 100 countries.",304,What is the refund policy?,ask_shipping_info
2220,Finance,How do I get a bank statement?,You can download it from your online banking portal.,2219,Can I invest in stocks through your bank?,get_bank_statement
724,Finance,Can I apply for a personal loan?,"Yes, you can apply for a personal loan through our website.",723,What is the current interest rate?,apply_loan
1325,Finance,Is there a fee for early loan repayment?,"Yes, there may be a small prepayment penalty.",1324,Can I apply for a personal loan?,loan_prepayment_fee
2224,Finance,Can I apply for a personal loan?,"Yes, you can apply for a personal loan through our website.",2223,What is the current interest rate?,apply_loan
796,E-commerce,The product I received is damaged.,We're sorry to hear that. We'll send a replacement.,795,Do you offer international shipping?,report_damaged_item
2236,E-commerce,The product I received is damaged.,We're sorry to hear that. We'll send a replacement.,2235,Do you offer international shipping?,report_damaged_item
2975,E-commerce,Do you offer international shipping?,"Yes, we ship to over 100 countries.",2974,What is the refund policy?,ask_shipping_info
187,E-commerce,How do I change my delivery address?,You can change it from your account settings.,186,The product I received is damaged.,update_address
2515,E-commerce,Do you offer international shipping?,"Yes, we ship to over 100 countries.",2514,What is the refund policy?,ask_shipping_info
2496,E-commerce,The product I received is damaged.,We're sorry to hear that. We'll send a replacement.,2495,Do you offer international shipping?,report_damaged_item
2135,Finance,Is there a fee for early loan repayment?,"Yes, there may be a small prepayment penalty.",2134,Can I apply for a personal loan?,loan_prepayment_fee
2094,Finance,Can I apply for a personal loan?,"Yes, you can apply for a personal loan through our website.",2093,What is the current interest rate?,apply_loan
1949,E-commerce,I forgot my account password.,Click on 'Forgot Password' to reset it.,1948,What payment methods do you accept?,reset_password
2316,E-commerce,The product I received is damaged.,We're sorry to hear that. We'll send a replacement.,2315,Do you offer international shipping?,report_damaged_item
1705,Finance,Is there a fee for early loan repayment?,"Yes, there may be a small prepayment penalty.",1704,Can I apply for a personal loan?,loan_prepayment_fee
2531,Finance,What is a mutual fund?,A mutual fund pools money from many investors to purchase securities.,2530,How do I get a bank statement?,ask_investment_info
904,E-commerce,What is the refund policy?,You can get a full refund within 30 days of purchase.,903,Can I cancel my order?,ask_refund_policy
2021,Finance,What is a mutual fund?,A mutual fund pools money from many investors to purchase securities.,2020,How do I get a bank statement?,ask_investment_info
2955,E-commerce,Do you offer international shipping?,"Yes, we ship to over 100 countries.",2954,What is the refund policy?,ask_shipping_info
1775,E-commerce,Do you offer international shipping?,"Yes, we ship to over 100 countries.",1774,What is the refund policy?,ask_shipping_info
2119,Finance,Can I invest in stocks through your bank?,"Yes, we offer stock investment services.",2118,What documents are needed for a home loan?,stock_investment
1991,E-commerce,I want to return my order.,"Sure, may I have your order number?",1990,Can I get a gift receipt?,initiate_return
2246,E-commerce,The product I received is damaged.,We're sorry to hear that. We'll send a replacement.,2245,Do you offer international shipping?,report_damaged_item
1260,Finance,How do I get a bank statement?,You can download it from your online banking portal.,1259,Can I invest in stocks through your bank?,get_bank_statement
2549,Finance,Can I invest in stocks through your bank?,"Yes, we offer stock investment services.",2548,What documents are needed for a home loan?,stock_investment
371,E-commerce,I want to return my order.,"Sure, may I have your order number?",370,Can I get a gift receipt?,initiate_return
1075,E-commerce,Do you offer international shipping?,"Yes, we ship to over 100 countries.",1074,What is the refund policy?,ask_shipping_info
729,E-commerce,I forgot my account password.,Click on 'Forgot Password' to reset it.,728,What payment methods do you accept?,reset_password
864,E-commerce,What is the refund policy?,You can get a full refund within 30 days of purchase.,863,Can I cancel my order?,ask_refund_policy
2955,Finance,Is there a fee for early loan repayment?,"Yes, there may be a small prepayment penalty.",2954,Can I apply for a personal loan?,loan_prepayment_fee
2352,Finance,How do I open a savings account?,You can open a savings account online or at any of our branches.,2351,What is a mutual fund?,open_account
1295,Finance,Is there a fee for early loan repayment?,"Yes, there may be a small prepayment penalty.",1294,Can I apply for a personal loan?,loan_prepayment_fee
1367,E-commerce,How do I change my delivery address?,You can change it from your account settings.,1366,The product I received is damaged.,update_address
1169,E-commerce,I forgot my account password.,Click on 'Forgot Password' to reset it.,1168,What payment methods do you accept?,reset_password
2931,Finance,What is a mutual fund?,A mutual fund pools money from many investors to purchase securities.,2930,How do I get a bank statement?,ask_investment_info
2699,Finance,Can I invest in stocks through your bank?,"Yes, we offer stock investment services.",2698,What documents are needed for a home loan?,stock_investment
2063,Finance,What is the current interest rate?,The current interest rate is 3.5% per annum.,2062,How do I open a savings account?,ask_interest_rate
2789,Finance,Can I invest in stocks through your bank?,"Yes, we offer stock investment services.",2788,What documents are needed for a home loan?,stock_investment
2819,Finance,Can I invest in stocks through your bank?,"Yes, we offer stock investment services.",2818,What documents are needed for a home loan?,stock_investment
1180,Finance,How do I get a bank statement?,You can download it from your online banking portal.,1179,Can I invest in stocks through your bank?,get_bank_statement
1745,Finance,Is there a fee for early loan repayment?,"Yes, there may be a small prepayment penalty.",1744,Can I apply for a personal loan?,loan_prepayment_fee
1959,Finance,Can I invest in stocks through your bank?,"Yes, we offer stock investment services.",1958,What documents are needed for a home loan?,stock_investment
2335,E-commerce,Do you offer international shipping?,"Yes, we ship to over 100 countries.",2334,What is the refund policy?,ask_shipping_info
497,E-commerce,How do I change my delivery address?,You can change it from your account settings.,496,The product I received is damaged.,update_address
2701,Finance,What is a mutual fund?,A mutual fund pools money from many investors to purchase securities.,2700,How do I get a bank statement?,ask_investment_info
1446,Finance,What is a credit score?,A credit score is a number that represents your creditworthiness.,1445,Is there a fee for early loan repayment?,ask_credit_score
1286,E-commerce,The product I received is damaged.,We're sorry to hear that. We'll send a replacement.,1285,Do you offer international shipping?,report_damaged_item
963,Finance,What is the current interest rate?,The current interest rate is 3.5% per annum.,962,How do I open a savings account?,ask_interest_rate
2137,Finance,How can I improve my credit score?,You can improve your credit score by paying bills on time.,2136,What is a credit score?,ask_credit_score
1906,E-commerce,The product I received is damaged.,We're sorry to hear that. We'll send a replacement.,1905,Do you offer international shipping?,report_damaged_item
2173,E-commerce,Can I cancel my order?,"If it hasn’t shipped yet, yes you can cancel it.",2172,Where is my package?,cancel_order
2377,E-commerce,How do I change my delivery address?,You can change it from your account settings.,2376,The product I received is damaged.,update_address
2224,E-commerce,What is the refund policy?,You can get a full refund within 30 days of purchase.,2223,Can I cancel my order?,ask_refund_policy
627,E-commerce,How do I change my delivery address?,You can change it from your account settings.,626,The product I received is damaged.,update_address
1546,Finance,What is a credit score?,A credit score is a number that represents your creditworthiness.,1545,Is there a fee for early loan repayment?,ask_credit_score
1210,Finance,How do I get a bank statement?,You can download it from your online banking portal.,1209,Can I invest in stocks through your bank?,get_bank_statement
1817,E-commerce,How do I change my delivery address?,You can change it from your account settings.,1816,The product I received is damaged.,update_address
610,E-commerce,Can I get a gift receipt?,"Yes, we offer gift receipts during checkout.",609,I forgot my account password.,request_gift_receipt
1129,E-commerce,I forgot my account password.,Click on 'Forgot Password' to reset it.,1128,What payment methods do you accept?,reset_password
1795,Finance,Is there a fee for early loan repayment?,"Yes, there may be a small prepayment penalty.",1794,Can I apply for a personal loan?,loan_prepayment_fee
2263,E-commerce,Can I cancel my order?,"If it hasn’t shipped yet, yes you can cancel it.",2262,Where is my package?,cancel_order
2029,Finance,Can I invest in stocks through your bank?,"Yes, we offer stock investment services.",2028,What documents are needed for a home loan?,stock_investment
99,E-commerce,I forgot my account password.,Click on 'Forgot Password' to reset it.,98,What payment methods do you accept?,reset_password
1687,E-commerce,How do I change my delivery address?,You can change it from your account settings.,1686,The product I received is damaged.,update_address
2514,E-commerce,What is the refund policy?,You can get a full refund within 30 days of purchase.,2513,Can I cancel my order?,ask_refund_policy
1378,E-commerce,What payment methods do you accept?,"We accept credit cards, PayPal, and more.",1377,How do I change my delivery address?,ask_payment_options
2409,E-commerce,I forgot my account password.,Click on 'Forgot Password' to reset it.,2408,What payment methods do you accept?,reset_password
2954,Finance,Can I apply for a personal loan?,"Yes, you can apply for a personal loan through our website.",2953,What is the current interest rate?,apply_loan
1580,Finance,How do I get a bank statement?,You can download it from your online banking portal.,1579,Can I invest in stocks through your bank?,get_bank_statement
1831,Finance,What is a mutual fund?,A mutual fund pools money from many investors to purchase securities.,1830,How do I get a bank statement?,ask_investment_info
2005,E-commerce,Do you offer international shipping?,"Yes, we ship to over 100 countries.",2004,What is the refund policy?,ask_shipping_info
905,Finance,Is there a fee for early loan repayment?,"Yes, there may be a small prepayment penalty.",904,Can I apply for a personal loan?,loan_prepayment_fee
93,Finance,What is the current interest rate?,The current interest rate is 3.5% per annum.,92,How do I open a savings account?,ask_interest_rate
1481,E-commerce,I want to return my order.,"Sure, may I have your order number?",1480,Can I get a gift receipt?,initiate_return
2943,Finance,What is the current interest rate?,The current interest rate is 3.5% per annum.,2942,How do I open a savings account?,ask_interest_rate
1084,Finance,Can I apply for a personal loan?,"Yes, you can apply for a personal loan through our website.",1083,What is the current interest rate?,apply_loan
1883,Finance,What is the current interest rate?,The current interest rate is 3.5% per annum.,1882,How do I open a savings account?,ask_interest_rate
1518,Finance,What documents are needed for a home loan?,"You will need ID, income proof, and address verification.",1517,How can I improve my credit score?,home_loan_documents
1538,E-commerce,What payment methods do you accept?,"We accept credit cards, PayPal, and more.",1537,How do I change my delivery address?,ask_payment_options
2898,E-commerce,What payment methods do you accept?,"We accept credit cards, PayPal, and more.",2897,How do I change my delivery address?,ask_payment_options
2172,Finance,How do I open a savings account?,You can open a savings account online or at any of our branches.,2171,What is a mutual fund?,open_account
1870,Finance,How do I get a bank statement?,You can download it from your online banking portal.,1869,Can I invest in stocks through your bank?,get_bank_statement
469,E-commerce,I forgot my account password.,Click on 'Forgot Password' to reset it.,468,What payment methods do you accept?,reset_password
1588,Finance,What documents are needed for a home loan?,"You will need ID, income proof, and address verification.",1587,How can I improve my credit score?,home_loan_documents
780,Finance,How do I get a bank statement?,You can download it from your online banking portal.,779,Can I invest in stocks through your bank?,get_bank_statement
2687,Finance,How can I improve my credit score?,You can improve your credit score by paying bills on time.,2686,What is a credit score?,ask_credit_score
2604,E-commerce,What is the refund policy?,You can get a full refund within 30 days of purchase.,2603,Can I cancel my order?,ask_refund_policy
1121,E-commerce,I want to return my order.,"Sure, may I have your order number?",1120,Can I get a gift receipt?,initiate_return
983,E-commerce,Can I cancel my order?,"If it hasn’t shipped yet, yes you can cancel it.",982,Where is my package?,cancel_order
1832,Finance,How do I open a savings account?,You can open a savings account online or at any of our branches.,1831,What is a mutual fund?,open_account
701,E-commerce,I want to return my order.,"Sure, may I have your order number?",700,Can I get a gift receipt?,initiate_return
15,Finance,Is there a fee for early loan repayment?,"Yes, there may be a small prepayment penalty.",14,Can I apply for a personal loan?,loan_prepayment_fee
